size_bytes,last_modified,service_date,file_url
3066,2024-05-01 03:26:17+00:00,2019-09-15,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-15-subway-on-time-performance-v1.parquet
1096786,2024-05-01 02:15:34+00:00,2019-09-16,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-16-subway-on-time-performance-v1.parquet
1522583,2024-05-01 02:42:51+00:00,2019-09-17,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-17-subway-on-time-performance-v1.parquet
1479309,2024-05-01 03:27:31+00:00,2019-09-18,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-18-subway-on-time-performance-v1.parquet
1203509,2024-05-01 02:18:31+00:00,2019-09-19,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-19-subway-on-time-performance-v1.parquet
1523833,2024-05-01 03:06:29+00:00,2019-09-20,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-20-subway-on-time-performance-v1.parquet
1041144,2024-05-01 02:24:41+00:00,2019-09-21,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-21-subway-on-time-performance-v1.parquet
955354,2024-05-01 04:26:01+00:00,2019-09-22,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-22-subway-on-time-performance-v1.parquet
1516623,2024-05-01 03:28:16+00:00,2019-09-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-23-subway-on-time-performance-v1.parquet
1529899,2024-05-01 03:50:02+00:00,2019-09-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-24-subway-on-time-performance-v1.parquet
1476517,2024-05-01 03:53:42+00:00,2019-09-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-25-subway-on-time-performance-v1.parquet
1500390,2024-05-01 03:31:33+00:00,2019-09-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-26-subway-on-time-performance-v1.parquet
1501828,2024-05-01 03:32:51+00:00,2019-09-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-27-subway-on-time-performance-v1.parquet
1105722,2024-05-01 04:07:58+00:00,2019-09-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-28-subway-on-time-performance-v1.parquet
943406,2024-05-01 04:14:51+00:00,2019-09-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-29-subway-on-time-performance-v1.parquet
1492209,2024-05-01 03:42:20+00:00,2019-09-30,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-09-30-subway-on-time-performance-v1.parquet
1494361,2024-05-01 04:02:25+00:00,2019-10-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-01-subway-on-time-performance-v1.parquet
1524399,2024-05-01 03:44:55+00:00,2019-10-02,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-02-subway-on-time-performance-v1.parquet
1524630,2024-05-01 02:53:34+00:00,2019-10-03,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-03-subway-on-time-performance-v1.parquet
1472385,2024-05-01 04:39:44+00:00,2019-10-04,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-04-subway-on-time-performance-v1.parquet
1029292,2024-05-01 02:12:45+00:00,2019-10-05,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-05-subway-on-time-performance-v1.parquet
952399,2024-05-01 03:45:29+00:00,2019-10-06,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-06-subway-on-time-performance-v1.parquet
1496866,2024-05-01 02:32:57+00:00,2019-10-07,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-07-subway-on-time-performance-v1.parquet
1506541,2024-05-01 03:34:46+00:00,2019-10-08,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-08-subway-on-time-performance-v1.parquet
1481170,2024-05-01 04:15:48+00:00,2019-10-09,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-09-subway-on-time-performance-v1.parquet
1464750,2024-05-01 04:14:20+00:00,2019-10-10,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-10-subway-on-time-performance-v1.parquet
1439921,2024-05-01 04:26:20+00:00,2019-10-11,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-11-subway-on-time-performance-v1.parquet
1060154,2024-05-01 04:23:46+00:00,2019-10-12,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-12-subway-on-time-performance-v1.parquet
965980,2024-05-01 02:35:38+00:00,2019-10-13,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-13-subway-on-time-performance-v1.parquet
1536841,2024-05-01 02:42:17+00:00,2019-10-14,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-14-subway-on-time-performance-v1.parquet
